Product ID;Ürün Adı;SKU;Barkod;Normal Fiyat;İndirimli Fiyat
26b675e3-3122-4c20-bad6-dc7c0948c2c6;Alice Straplez Uzun Elbise;25QU005;2030590004102;1625;599
26b675e3-3122-4c20-bad6-dc7c0948c2c6;Alice Straplez Uzun Elbise;25QU005;2030590004103;1625;599
6cbf4ec4-df0b-47a2-8ff0-feeb2aefca53;Alt Üst İkili Takım;25SWSGTS004;5199702906443;2250;1248.95
6cbf4ec4-df0b-47a2-8ff0-feeb2aefca53;Alt Üst İkili Takım;25SWSGTS004;519970290644;2250;1248.95
6cbf4ec4-df0b-47a2-8ff0-feeb2aefca53;Alt Üst İkili Takım;25SWSGTS004;5199702906445;2250;1248.95
29677a98-1e33-4ea4-a7ac-9f1ca01182e7;Alt Üst İkili Takım Bordo;25SWSGTS004;5199702906449;2250;1248.95
29677a98-1e33-4ea4-a7ac-9f1ca01182e7;Alt Üst İkili Takım Bordo;25SWSGTS004;5199702906450;2250;1248.95
29677a98-1e33-4ea4-a7ac-9f1ca01182e7;Alt Üst İkili Takım Bordo;25SWSGTS004;5199702906451;2250;1248.95
10e86e80-2c86-4093-a9c7-2bf13baad7f1;Alt Üst İkili Takım Lacivert;25SWSGTS004;5199702906446;2250;1248.95
10e86e80-2c86-4093-a9c7-2bf13baad7f1;Alt Üst İkili Takım Lacivert;25SWSGTS004;5199702906447;2250;1248.95
10e86e80-2c86-4093-a9c7-2bf13baad7f1;Alt Üst İkili Takım Lacivert;25SWSGTS004;5199702906448;2250;1248.95
dad086ed-f03d-4181-86df-fa38318b70bd;Anvelop Detay Lacivert Gömlek;25BLK006;235590004251;873.75;500.95
dad086ed-f03d-4181-86df-fa38318b70bd;Anvelop Detay Lacivert Gömlek;25BLK006;235590004245;873.75;500.95
dad086ed-f03d-4181-86df-fa38318b70bd;Anvelop Detay Lacivert Gömlek;25BLK006;235590004246;873.75;500.95
dad086ed-f03d-4181-86df-fa38318b70bd;Anvelop Detay Lacivert Gömlek;25BLK006;235590004247;873.75;500.95
9cced25e-35e0-4b40-aa54-05db18ac32ae;Aria Düğmeli Blazer Ceket Beyaz Desenli;23Y3653/D;5029702913470;1662.5;937.95
9cced25e-35e0-4b40-aa54-05db18ac32ae;Aria Düğmeli Blazer Ceket Beyaz Desenli;23Y3653/D;5029702913471;1662.5;937.95
9cced25e-35e0-4b40-aa54-05db18ac32ae;Aria Düğmeli Blazer Ceket Beyaz Desenli;23Y3653/D;5029702913472;1662.5;937.95
9cced25e-35e0-4b40-aa54-05db18ac32ae;Aria Düğmeli Blazer Ceket Beyaz Desenli;23Y3653/D;5029702913473;1662.5;937.95
b64b061e-97ec-49e9-ac05-289a7bb77c55;Aria Düğmeli Blazer Ceket Bordo;24Kİ3653;5029732908919;1873.75;799
b64b061e-97ec-49e9-ac05-289a7bb77c55;Aria Düğmeli Blazer Ceket Bordo;24Kİ3653;5029732908920;1873.75;799
b64b061e-97ec-49e9-ac05-289a7bb77c55;Aria Düğmeli Blazer Ceket Bordo;24Kİ3653;5029732908921;1873.75;799
b64b061e-97ec-49e9-ac05-289a7bb77c55;Aria Düğmeli Blazer Ceket Bordo;24Kİ3653;5029732908922;1873.75;799
fdaf3ad3-06e9-4ad2-9c91-4931c4bf87e7;Aria Düğmeli Blazer Ceket Lacivert;24Kİ3653;5029732908927;1800;799
fdaf3ad3-06e9-4ad2-9c91-4931c4bf87e7;Aria Düğmeli Blazer Ceket Lacivert;24Kİ3653;5029732908928;1800;799
fdaf3ad3-06e9-4ad2-9c91-4931c4bf87e7;Aria Düğmeli Blazer Ceket Lacivert;24Kİ3653;5029732908929;1800;799
fdaf3ad3-06e9-4ad2-9c91-4931c4bf87e7;Aria Düğmeli Blazer Ceket Lacivert;24Kİ3653;5029732908930;1800;799
c88f2087-06c3-40bb-b7db-7d6fd80df86e;Aria Düğmeli Blazer Ceket Siyah;22Y3653;5029732908931;1662.5;873.95
c88f2087-06c3-40bb-b7db-7d6fd80df86e;Aria Düğmeli Blazer Ceket Siyah;22Y3653;5029732908932;1662.5;873.95
c88f2087-06c3-40bb-b7db-7d6fd80df86e;Aria Düğmeli Blazer Ceket Siyah;22Y3653;5029732908933;1662.5;873.95
c88f2087-06c3-40bb-b7db-7d6fd80df86e;Aria Düğmeli Blazer Ceket Siyah;22Y3653;5029732908934;1662.5;873.95
46dc724f-7f7e-41e2-8201-11658c2ad668;Aria Düğmeli Ceket Yeşil;24Kİ3653;5029732908923;1562.5;799
46dc724f-7f7e-41e2-8201-11658c2ad668;Aria Düğmeli Ceket Yeşil;24Kİ3653;5029732908924;1562.5;799
46dc724f-7f7e-41e2-8201-11658c2ad668;Aria Düğmeli Ceket Yeşil;24Kİ3653;5029732908925;1562.5;799
46dc724f-7f7e-41e2-8201-11658c2ad668;Aria Düğmeli Ceket Yeşil;24Kİ3653;5029732908926;1562.5;799
